beber,to drink,1,1
cocinar,to cook,1,1
cenar,to have dinner,1,1
desayunar,to have breakfast,1,1
merendar,to have a snak,1,1
Los condimentos y las especias,Condiments and spices,1,1
el aceite,oil,1,1
el aliño o el ederezo,salad dressing,1,1
el azúcar,sugar,1,1
la mayonesa,mayonnaise,1,1
la mermelada,jam or marmalade,1,1
la pimienta,pepper,1,1
la sal,salt,1,1
la salsa de tomate,ketchup,1,1
el vinagre,vinegar,1,1
a la parrilla,grilled,1,1
al horno,baked,1,1
asado/a,well done,1,1
bien hecho/a,well cooked,1,1
caliente,hot(temperature),1,1
cocido/a,boiled or baked,1,1
crudo/a,rare or raw,1,1
duro/a,hard boiled,1,1
fresco/a,fresh,1,1
frito/a,fried,1,1
hervido/a,boiled,1,1
picante,spicy,1,1
poco hecho/a,rare,1,1
término medio,medium,1,1
el/la camerero/a,waiter/waitress,1,1
el/la cliente/a,customer/client,1,1
el/la cocinero/a,cook,1,1
la cuchara,spoon,1,1
el cuchillo,knife,1,1
la especialidad de la casa,specialty of the house,1,1
el mantel,table cloth,1,1
el menú,menu,1,1
el plato,plate,1,1
la propina,tip,1,1
la servilleta,napkin,1,1
la tarjeta de crédito,credit card,1,1
la tarjeta de débito,debit card,1,1
la taza,cup,1,1
el tenedor,fork,1,1
el vaso,glass,1,1
barato/a,cheap,1,1
caro/a,expensive,1,1
delicioso/a,delicious,1,1
pagar,to pay,1,1
pedir,to order,1,1
reservar una mesa,to reserve a table,1,1
saber bien/mal,to taste good or bad,1,1
¡Buen provecho!,Enjoy you meal!,1,1
La cuento por favor,The check please,1,1
las aves,poultry,1,1
el bistec,steak,1,1
la carne,meat,1,1
la hamburguesa,hamburger,1,1
el jamón,ham,1,1
el perro caliente,hot dog,1,1
el pollo,chicken,1,1
el atún,tuna,1,1
los camarones,shrimp,1,1
el pescado,fish,1,1
los mariscos,shellfish,1,1
la banana,banana,1,1
el limón,lemon,1,1
la manzana,apple,1,1
el melón,melon,1,1
la naranja,orange,1,1
el tomate,tomato,1,1
el ajo,garlic,1,1
la cebolla,onion,1,1
el chile,chili pepper,1,1
la ensalada,salad,1,1
los frijoles,beans,1,1
la lechuga,lettuce,1,1
el maíz,corn,1,1
la papa/la patata,potato,1,1
los papas fritas,frech fries or potato chips,1,1
la verdura,vegetable,1,1
el almuerzo,lunch,1,1
la cena,dinner,1,1
la comida,food or meal,1,1
el desayuno,breakfast,1,1
la merienda,snack,1,1
el arroz,rice,1,1
el cereal,cereal,1,1
el huevo,egg,1,1
el pan,bread,1,1
el queso,cheese,1,1
la sopa,soup,1,1
la tostada,toast,1,1
el yogur,yogurt,1,1
los dulces,candy or sweets,1,1
la galleta,cookie or cracker,1,1
el helado,ice cream,1,1
el pastel,pastry or pie,1,1
el postre,dessert,1,1
la torta,cake,1,1
el agua (con hielo),water (with ice),1,1
el café,coffee,1,1
la cerveza,beer,1,1
el jugo,juice,1,1
la leche,milk,1,1
el refresco,soft dring,1,1
el té (helado/caliente),tea (iced/hot),1,1
el vino,wine,1,1
