seguimos,seguir nos now,0,1
seguís,seguir vos now,0,0
siguen,seguir ellos now,1,0
seguí,seguir yo pret,0,0
seguiste,seguir tú pret,1,0
siguió,seguir él pret,0,0
seguimos,seguir nos pret,0,0
seguisteis,seguir vos pret,0,1
siguieron,seguir ellos pret,1,0
preferir,to prefer,0,0
prefiero,preferir yo now,0,0
prefieres,preferir tú now,0,0
prefiere,preferir él now,0,0
preferimos,preferir nos now,0,1
preferís,preferir vos now,0,0
prefieren,preferir ellos now,0,0
preferí,preferir yo pret,0,0
preferiste,preferir tú pret,0,1
prefirió,preferir él pret,0,0
preferimos,preferir nos pret,1,0
preferisteis,preferir vos pret,1,0
prefirieron,preferir ellos pret,0,0
hacer,to do or make,0,0
hago,hacer yo now,0,1
haces,hacer tú now,0,1
hace,hacer él now,1,1
hacemos,hacer nos now,0,0
hacéis,hacer vos now,1,0
hacen,hacer ellos now,0,0
hice,hacer yo pret,0,0
hiciste,hacer tú pret,1,0
hizo,hacer él pret,0,1
hicimos,hacer nos pret,0,0
hicisteis,hacer vos pret,0,1
hicieron,hacer ellos pret,0,0
poder,to put or place,1,0
pongo,poder yo now,0,0
pones,poder tú now,0,0
pone,poder él now,1,1
ponemos,poder nos now,0,0
ponéis,poder vos now,0,0
ponen,poder ellos now,0,0
puse,poder yo pret,0,0
pusiste,poder tú pret,0,0
puso,poder él pret,0,0
pusimos,poder nos pret,0,0
pusisteis,poder vos pret,0,0
pusieron,poder ellos pret,0,0
querer,to want or love,0,1
quiero,querer yo now,0,0
quieres,querer tú now,0,0
quiere,querer él now,0,0
queremos,querer nos now,0,0
queréis,querer vos now,1,0
quieren,querer ellos now,0,1
quise,querer yo pret,0,0
quisiste,querer tú pret,0,0
quiso,querer él pret,0,0
quisimos,querer nos pret,0,0
quisisteis,querer vos pret,0,0
quisieron,querer ellos pret,0,0
saber,to know,0,0
sé,saber yo now,0,0
sabes,saber tú now,0,1
sabe,saber él now,0,1
sabemos,saber nos now,1,0
sabéis,saber vos now,0,0
saben,saber ellos now,0,0
supe,saber yo pret,0,0
supiste,saber tú pret,0,1
supo,saber él pret,0,0
supimos,saber nos pret,0,0
supisteis,saber vos pret,0,0
supieron,saber ellos pret,0,0
venir,to come,1,0
vengo,venir yo now,0,1
vienes,venir tú now,0,0
viene,venir él now,0,0
venimos,venir nos now,0,0
venís,venir vos now,0,0
vienen,venir ellos now,1,0
vine,venir yo pret,1,0
viniste,venir tú pret,0,0
vino,venir él pret,0,0
vinimos,venir nos pret,0,0
vinisteis,venir vos pret,1,0
vinieron,venir ellos pret,0,0
traer,to bring,0,0
traigo,traer yo now,0,0
traes,traer tú now,0,0
trae,traer él now,0,0
traemos,traer nos now,0,0
traéis,traer vos now,0,0
traen,traer ellos now,0,0
traje,traer yo pret,1,0
trajiste,traer tú pret,0,0
trajo,traer él pret ,0,0
trajimos,traer nos pret,0,0
trajisteis,traer vos pret,1,1
trajeron,traer ellos pret,0,1
decir,to say or tell,0,0
digo,decir yo now,1,0
dices,decir tú now,0,1
dice,decir él now,0,1
decimos,decir nos now,0,0
decis,decir vos now,1,0
dicen,decir ellos now,0,0
dije,decir yo pret,0,0
dijiste,decir tú pret,0,0
dijo,decir él pret,0,0
dijimos,decir nos pret,0,0
dijisteis,decir vos pret,0,0
dijeron,decir ellos pret,0,0
jugar,to play,1,0
juego,jugar yo now,0,0
juegas,jugar tú now,0,0
juega,jugar él now,0,0
jugamos,jugar nos now,0,0
jugaís,jugar vos now,0,0
juegan,jugar ellos now,0,0
jugué,jugar yo pret,1,0
jugaste,jugar tú pret,0,0
jugó,jugar él pret,0,0
jugamos, jugar nos pret,0,0
jugasteis,jugar vos pret,1,1
jugaron,jugar ellos pret,0,0
beber,to drink,0,1
cocinar,to eat,0,0
cenar,to have dinner,0,0
desayunar,to have breakfast,0,0
dormir,to sleep,0,0
duermo,dormir yo now,0,1
duermes,dormir tú now,0,0
duerme,dormir él now,0,1
dormimos,dormir nos now,0,0
dormís,dormir vos now,0,0
duermen,dormir ellos now,0,0
dormí,dormir yo pret,0,0
dormiste,dormir tú pret,0,0
durmió,dormir él pret,0,0
dormimos,dormir nos pret,0,1
dormisteis,dormir vos pret,0,1
durmieron,dormir ellos pret,0,0
empezar,to begin,0,1
empiezo,empezar yo now,0,1
empiezas,empezar tú now,0,0
empieza,empezar él now,0,0
empezamos,empezar nos now,0,1
empezáis,empezar vos now,0,0
empiezan,empezar ellos now,0,0
empecé,empezar yo pret,0,0
empezaste,empezar tú pret,0,0
empezó,empezar él pret,0,0
empezamos,empezar nos pret,0,1
empezasteis,empezar vos pret,0,0
empezaron,empezar ellos pret,0,0
merendar,to have snack,0,0
pagar,to pay,0,0
reservar,to reserve,0,1
fritar,to fry,0,0
llegar,to arrive,1,1
llevar,to take or wear,0,0
prestar,to loan,0,0
encantar,to love or like very much,0,1
fascinar,to fascinate,0,0
hacer falta,to need or to be lacking,0,0
importar,to matter or be important,0,0
molestar,to bother,0,0
morir,to die,0,0
muero,morir yo now,0,0
mueres,morir tú now,0,0
muere,morir él now,0,0
morimos,morir nos now,0,0
morís,morir vos now,0,0
mueren,morir ellos now,0,0
morí,morir yo pret,0,0
moriste,morir tú pret,0,1
murió,morir él pret,0,0
morimos,morir nos pret,0,0
moristeis,morir vos pret,0,0
murieron,morir ellos pret,0,0
ensayer,to practice,0,0
grabar,to record,0,0
recordar,to remember,1,0
recuerdo,recordar yo now,0,0
recuerdas,recordar tú now,1,0
recuerda,recordar él now,0,0
recuerdan,recordar ellos now,0,0
deber,should,0,0
tocar,to take or drink,0,0
trabajar,to work,0,0
organizar,to organize,0,0
viajar,to travel,0,0
buscar,to look,1,0
busqué,buscar yo pret,0,0
